P00001606T0076|14 33|alkaline phosphatases
P00812183T0000|10 23|transfer factor
P00818380A0239|0 15|Rheumatoid factor
P00837811A0675|61 73|gamma globulin
P00846559A0000|187 194|T-2 toxin
P00857024A0888|76 84|properdin
P00866577A0579|21 31|plasminogen
P00881630A0000|70 86|Direct Lytic Factor
P00881630A0000|90 104|Phospholipase-A
P00898500A0246|143 153|IgE antibody
P00917572T0001|14 16|TSH
P00918556A0000|15 38|hepatitis B surface antigen
P00918556A0000|40 44|HBsAg
P00918556A0000|49 56|anti-HBs
P00947834X0000|13 15|IgE
P00954819A1041|128 131|AChE
P00956554A0414|95 107|IgE antibodies
P00959656A0250|39 53|antithrombin III
P00970488A0105|75 84|DA receptor
P00984209A0614|5 11|gastrin
P00984209A0614|67 73|gastrin
P00985279A0493|4 24|corpuscular hemoglobin
P00986925A0002|11 20|calcitonin
P00986925A0002|70 77|glucagon
P00989973A0000|16 31|plasma fibrinogen
P00993176A0066|5 13|myoglobin
P00993176A0066|35 44|hemoglobin
P00993176A0066|116 125|hemoglobin
P01000378T0000|16 29|plasma glucagon
P01000378T0000|33 39|insulin
P01021091T0000|73 108|2--phenylalanine-8-lysine vasopressin
P01021091T0000|110 120|Octapressin
P01048968A0152|108 121|beta-lactamase
P01078982A0227|69 90|antilymphocyte globulin
P01078982A0227|92 94|ALG
P01078982A0227|109 111|ALG
P01081904A0198|0 5|Fibrin
P01083375T0000|0 17|Alpha-1 antitrypsin
P01083784T0000|25 32|serum IgE
P01098592A0567|0 2|IgG
P01113908A0475|30 40|transferrin
P01116466A0185|0 13|Thromboplastin
P01116466A0185|26 39|thromboplastin
P01116466A0185|45 52|thrombin
P01116466A0185|72 77|fibrin
P01116466A0185|97 125|clotting factors II, V, VIII, IX, X
P01130186A0568|47 53|insulin
P01140184A0342|48 61|epoxide hydrase
P01150658A0683|39 61|human luteinizing hormone
P01158512T0000|0 31|Glucose-6-phosphate dehydrogenase
P01158512T0000|33 38|G-6-PD
P01168607A0672|86 96|prothrombin
P01171935A0313|134 153|dopamine receptor site
P01172734T0035|15 22|HL-A W-27
P01190120A0832|39 52|thromboplastin
P01191964A0000|258 269|thyrotrophin
P01224116A0576|35 54|serum immunoglobulins
P01224116A0576|63 65|IgG
P01228882A0437|63 80|CSF immunoglobulins
P01243628A0286|44 65|blood carboxyhemoglobin
P01243628A0286|67 70|COHb
P01256410T0001|16 23|factor II
P01265887T0001|8 17|factor VIII
P01275541A0405|21 23|CPK
P01276105A0313|14 20|insulin
P01279352A1197|16 28|NF(H) promoter
P01279352A1197|133 162|beta-galactosidase reporter gene
P01279374A0396|118 123|PET122
P01280807A0575|18 41|MetRS/CAU operator complex
P01280807A0575|80 103|ThrRS/CGU operator complex
P01281771T0000|21 50|human gene encoding cytokeratin 17
P01284828T0001|0 25|Tissue plasminogen activator
P01285009A0000|26 43|human growth hormone
P01285009A0000|45 47|hGH
P01285009A0000|90 109|mouse metallothionein
P01285009A0000|111 113|mMT
P01285009A0000|116 135|viral thymidine kinase
P01285009A0000|137 139|vTK
P01285009A0000|142 159|rat cholecystokinin
P01285009A0000|161 164|rCCK
P01285009A0000|169 185|chicken beta-actin
P01285009A0000|187 189|cBA
P01285358A0396|5 11|gastrin
P01285358A0396|15 17|AFP
P01294345A0591|128 136|prolactin
P01296815A0059|31 34|LD78
P01296815A0059|42 50|LD78 gamma
P01297332A0983|68 73|SWI4,6
P01301171A0979|35 55|c-myc bearing sequences
P01309587A0715|31 43|BMRF1 promoter
P01309587A0715|49 49|Z
P01309587A0715|51 55|c-myb
P01309587A0715|101 108|Z protein
P01309587A0715|118 129|c-myb protein
P01309593A1092|20 24|UCRBP
P01309593A1092|85 115|adeno-associated virus P5 promoter
P01309593A1092|132 170|immunoglobulin light- and heavy-chain genes
P01309593A1092|190 210|ribosomal protein genes
P01309815A0972|12 25|scr1-1 mutation
P01309815A0972|130 132|AEP
P01309894A0807|4 8|Rep78
P01309894A0807|12 16|Rep68
P01309910A0428|38 55|TAR-binding protein
P01309910A0428|74 85|CREB2 protein
P01310154A0879|89 98|FBR protein
P01310154A0879|203 212|FBR protein
P01310178A0876|91 120|30-kDa gp0.7-related polypeptide
P01310935T0000|0 14|Drosophila UbcD1
P01310935T0000|38 46|ubiquitin
P01312005A0600|49 52|MDP1
P01313715A0461|84 91|rp47phox
P01313715A0461|212 218|p47phox
P01313846A0850|42 48|Tactile
P01313846A0850|63 91|immunoglobulin gene superfamily
P01313846A0850|109 125|Drosophila amalgam
P01313846A0850|130 145|melanoma Ag MUC-18
P01313846A0850|159 182|carcinoembryonic Ag family
P01313846A0850|187 204|poliovirus receptor
P01313846A0850|212 237|neural cell adhesion molecule
P01313894A1179|54 62|LMP2B mRNA
P01313909A0526|18 21|ICP0
P01313909A0526|104 122|ICP0-coding sequence
P01314953A1266|60 63|HAP2
P01314953A1266|66 69|HAP3
P01314953A1266|90 93|hap3
P01315706A0000|52 61|E1a protein
P01316680A0643|17 22|IR5 ORF
P01316900A0000|19 40|sulfate activation locus
P01316903A0296|25 39|RNA polymerase II
P01316903A1040|0 15|RNA polymerase IIA
P01316903A1040|97 112|RNA polymerase IIA
P01317376A0981|0 11|Fructokinase
P01317376A0981|119 125|frk mRNA
P01318310A0000|61 82|high density lipoprotein
P01318310A0000|84 86|HDL
P01320255A0795|74 83|L1 sequence
P01320255A0795|158 164|human L1
P01320640A0336|38 59|neuron-specific enolase
P01320640A0336|61 67|insulin
P01320640A0336|69 76|glucagon
P01320640A0336|80 82|VIP
P01321277A0342|26 28|src
P01321277A0342|42 44|ros
P01321277A0342|52 54|SRC
P01321277A0342|56 58|ROS
P01321277A0342|141 143|UR2
P01321277A0664|0 2|ROS
P01321277A0664|4 6|SRC
P01321277A0664|8 8|R
P01321277A0664|87 89|ros
P01321280A0494|31 32|E6
P01321280A0494|36 41|E7 gene
P01321280A0494|165 171|BPV-1 E6
P01321280A0494|175 176|E7
P01321332A0970|69 76|RXR alpha
P01321332A0970|106 127|apoAI gene basal promoter
P01321332A0970|241 245|ARP-1
P01321336A0731|19 26|ALF1 cDNA
P01321337A0318|156 175|mammalian calcineurin
P01321337A0318|218 234|bovine calcineurin
P01321337A1161|26 29|MATa
P01321337A1161|30 33|cna1
P01321337A1161|34 37|cna2
P01321337A1161|52 55|MATa
P01321337A1161|56 66|cnb1 mutants
P01321337A1161|107 118|alpha-factor
P01324172A0880|44 47|RIM1
P01324385A0329|8 20|IgG antibodies
P01324385A0329|29 42|anti-HHV-6-IgG
P01324404A0813|114 129|HNF-3 beta protein
P01324404A1208|0 31|HNF-3 beta amino-terminal sequences
P01325221A0870|76 84|MBP kinase
P01325221A0870|104 115|p41 MAP kinase
P01325386A0766|3 8|hit1-1
P01325386A0766|44 64|74-kD heat shock protein
P01326329A0703|157 173|activator protein 2
P01326329A0703|175 178|Ap-2
P01327758A0000|77 85|E1 protein
P01327758A0000|92 111|full-length E2 protein
P01328197A0985|27 44|MAP kinase activator
P01328197A0985|46 54|MAP kinase
P01328197A0985|91 93|ras
P01328219A1397|0 5|NSCL-1
P01328681A0149|6 24|LTR-binding proteins
P01328681A0149|47 51|c-myc
P01328681A0149|120 138|LTR-binding proteins
P01328854T0000|7 15|MEF-2 site
P01328854T0000|105 135|human phosphoglycerate mutase gene
P01328884T0000|40 58|MHC class II molecules
P01329039A0239|126 137|bHLH proteins
P01329039A0951|47 58|TnI enhancers
P01329039A0951|90 105|MCK left E-box site
P01329039A0951|115 128|Ig kappa E2 E-box
P01330077A0000|0 17|T-cell receptor beta
P01330077A0000|19 25|TCR beta
P01330309A1134|30 33|MyoD
P01330309A1134|37 58|myogenin fusion proteins
P01331057A0000|24 28|COX12
P01331057A0000|47 56|subunit VIb
P01331057A0000|59 99|Saccharomyces cerevisiae cytochrome c oxidase
P01331060A0768|17 32|calcineurin A gene
P01331086T0000|26 62|murine cytochrome c oxidase subunit IV gene
P01331086T0000|90 92|ets
P01331086T0000|109 140|GABP-related transcription factors
P01331501A0397|49 68|pRB-binding sequences
P01331501A0397|71 73|E1A
P01331501A0397|105 108|p107
P01331501A0397|110 116|cyclin A
P01331501A0397|121 124|p130
P01332964A0247|23 33|RII beta gene
P01333035T0000|10 39|cAMP receptor protein contact site
P01333035T0000|59 86|Escherichia coli RNA polymerase
P01333047A0404|14 34|epidermal growth factor
P01333047A0404|37 64|platelet-derived growth factor
P01333047A0404|126 135|Nck protein
P01333053A0110|22 43|steroid hydroxylase gene
P01333053A0110|121 124|ACTH
P01333317A1008|38 40|Sp1
P01333317A1008|69 96|proximal regulatory factor(s) I
P01333317A1008|98 102|PRF-I
P01334428A1102|26 43|src-related peptide
P01334493A0289|20 23|HGFr
P01334493A0289|25 29|sHGFr
P01334493A0289|36 38|HGF
P01337142A2043|8 45|human glycoprotein alpha-subunit promoter
P01337142A2043|65 67|FSK
P01339373T0000|77 80|SNF1
P01339468A0272|55 77|potexvirus RNA replicases
P01340470A0000|2 23|RNA-binding protein gene
P01340470A0000|25 28|rbp1
P01346534T0000|43 77|leucine-responsive regulatory protein
P01347476T0000|12 60|mouse ornithine decarboxylase-related sequence family
P01347664A1026|50 56|CAD mRNA
P01347944A0964|37 68|homeodomain binding site II sequence
P01348508A0313|153 160|TGM1 gene
P01348590A0000|125 127|CD4
P01349837T0000|40 69|Zea mays mitochondrial chaperonin
P01349837T0000|70 74|HSP60
P01353478T0000|13 17|H-2Eb
P01353478T0000|24 41|IAP retrotransposon
P01357190A0726|119 121|CD4
P01357528A0084|19 23|curli
P01357528A0084|63 68|SEF-17
P01358190A0654|17 28|DR1 beta chain
P01358190A0654|33 41|H-2E beta k
P01358758A0000|21 35|rat insulin I gene
P01360294A0000|104 118|antithrombin III
P01360294A0000|120 124|AT III
P01363080A0710|135 151|carbonic anhydrase
P01363166T0001|17 26|H2 receptor
P01371272A1167|72 94|yeast DNA polymerase alpha
P01371275T0000|42 60|vacuolar H(+)-ATPase
P01371413A0742|14 23|hGCSFR gene
P01372802A1481|23 24|C3
P01372802A1481|107 119|C3(D) epitopes
P01372802A1481|155 165|C3 fragments
P01372802A1481|272 284|C3(D) epitopes
P01372802A1481|321 322|C3
P01372900A0448|91 112|alpha s1-casein variant A
P01372900A1017|54 88|goat alpha s1-casein transcription unit
P01373374A0735|67 70|GBF1
P01373374A0735|74 77|GBF3
P01374392A0341|23 27|NHE-3
P01374392A0341|49 53|NHE-1
P01374392A0341|57 61|NHE-2
P01375224A0152|41 45|v-Crk
P01375913A0484|53 64|U14 snRNA gene
P01375913A0484|94 120|T7 RNA polymerase promoter site
P01377696A0000|42 52|neurofascin
P01377818A0468|11 19|C/EBP beta
P01377818A0468|23 32|C/EBP gamma
P01377818A0468|79 88|C/EBP alpha
P01377962A1012|11 21|tobacco GS-2
P01378052A0594|7 10|acoR
P01378052A0594|14 20|acoXABC
P01378052A0594|153 156|NtrC
P01378052A0594|160 189|NifA upstream activator sequences
P01378506A0884|82 83|NC
P01380062A0097|0 7|T antigen
P01380454A0451|43 51|ref-1 gene
P01380454A0451|85 87|Fos
P01380454A0451|89 91|Jun
P01380454A0451|105 107|Jun
P01380454A0451|109 111|Jun
P01380454A0451|133 144|AP-1 proteins
P01380454A0451|200 208|NF-kappa B
P01380454A0451|210 212|Myb
P01380454A0451|228 230|ATF
P01380454A0451|232 235|CREB
P01383690A1023|3 5|ARG
P01383690A1023|6 14|SH2 domain
P01383690A1023|49 51|BCR
P01383690A1023|105 107|ABL
P01383690A1023|108 116|SH2 domain
P01383695A0100|79 86|IgM kappa
P01383695A0100|90 98|IgM lambda
P01384229A0175|51 53|ICS
P01384229A0175|105 113|BF-IV gene
P01384229A0175|173 182|TK promoter
P01384229A0175|197 228|chloramphenicol acetyl transferase
P01384229A0175|230 232|CAT
P01384229A0175|239 245|pBLCAT2
P01386897A0000|65 75|CDC28 kinase
P01386897A0000|105 111|cyclins
P01386897A0000|121 124|CLN1
P01386897A0000|128 131|CLN2
P01387105A0933|135 159|cyclin B1-related sequences
P01387105A0933|171 183|loci Cycb1-rs1
P01387105A0933|186 194|Cycb1-rs9
P01392012A0228|19 29|vasopressin
P01392012A0228|33 40|oxytocin
P01394200A0592|137 140|CD25
P01394200A0592|142 161|interleukin 2 receptor
P01394200A0592|166 171|CD45RO
P01394655A0615b|0 5|Urease
P01394655A0615b|101 118|Jack bean meal urease
P01396583A0204|42 53|interleukin 2
P01396592A1113|28 34|SCL gene
P01396592A1113|53 86|erythroid transcription factor GATA-1
P01396592A1113|97 110|SCL gene product
P01396601A0986|30 35|Sec12p
P01396601A0986|37 41|Stl1p
P01396601A0986|45 49|Stl2p
P01398068A0948|37 67|his175 or his273 mutant p53 proteins
P01398068A0948|98 111|RGC DNA sequence
P01398071A0526|77 80|BRF1
P01398071A0526|130 154|RNA polymerases I, II, and III
P01398073A0986|42 65|multisubunit TFIID protein
P01398074A0697|75 88|RNase MRP enzyme
P01398074A1081|3 17|RNase MRP RNA gene
P01398074A1081|127 134|RNase MRP
P01398104A0834|17 21|CBF-A
P01398104A0834|39 65|ssDNA- and RNA-binding protein
P01398106A0754|34 39|I-CreI
P01398140A0488|16 28|Xenopus U7 gene
P01398140A0488|104 106|PSE
P01399206A0375|35 45|collagenase
P01400217T0000|58 61|traF
P01400217T0000|65 68|traG
P01400217T0000|85 88|traF
P01400396A1265|109 126|protein kinase C beta
P01400401A0065|13 32|AMP deaminase variants
P01400401A0065|40 40|M
P01400401A0065|59 60|E1
P01400401A0065|65 66|E2
P01400401A0854|25 30|anti-E
P01400401A0854|119 136|truncated AMPD3 cDNA
P01404401A0740|9 21|ATPase cluster
P01406630A0545|103 121|Rel-related proteins
P01406656A1075|39 56|mouse alpha 1(I) gene
P01406656A1075|154 165|oncogenic ras
P01406677A0000|82 99|human myoglobin gene
P01406677A0000|224 244|firefly luciferase gene
P01406688A0898|34 44|rap1t allele
P01406703A1435|58 91|H-2RIIBP nuclear hormone receptor cDNA
P01407286A0427|146 164|tyrosine hydroxylase
P01409581A0206|34 38|v-ets
P01409581A0206|45 77|myeloid/B-cell-specific factor PU.1
P01409643A0618|205 231|TATA element modulatory factor
P01409643A0618|233 235|TMF
P01410071T0000|45 53|prolactin
P01413984A0737|66 79|HDL cholesterol
P01413984A0737|81 94|LDL cholesterol
P01413984A0737|96 100|apo A1
P01413984A0737|102 106|Lp(a)
P01413984A0737|108 112|HbA1C
P01413984A0737|122 131|fibrinogen
P01413984A0737|133 142|factor VIII
P01413984A0737|144 158|antithrombin III
P01413984A0737|160 188|plasminogen activator inhibitor
P01413984A0737|190 215|tissue plasminogen activator
P01413984A0737|219 237|von Willebrand factor
P01418272A1072|39 41|CEA
P01420363A0818|3 6|TIMP
P01420363A0818|16 18|AP1
P01420363A0818|51 55|c-Fos
P01420363A0818|57 61|c-Jun
P01420363A0818|62 64|AP1
P01420363A0818|120 136|nuclear AP1 factors
P01420363T0000|13 15|AP1
P01420363T0000|19 34|PEA3 binding sites
P01420363T0000|52 94|murine tissue inhibitor of metalloproteinases-1
P01420363T0000|96 101|TIMP-1
P01421145A1190|79 84|PCAT-1
P01422265A0263|3 5|IgG
P01422265A0263|85 88|IgG1
P01422265A0263|102 105|IgG2
P01422265A0263|107 110|IgG3
P01422265A0263|112 115|IgG4
P01423454A0309|13 16|ANCA
P01425921A1286|161 164|V1J1
P01426635A0496|18 22|ZFH-2
P01426635A0496|63 65|DDC
P01427034A0440|33 53|ribosomal protein genes
P01427034A0440|90 97|S13 genes
P01429596A1669|55 67|hemagglutinin
P01429596A1669|81 121|Limulus 18K agglutination-aggregation factor
P01429596A1669|123 129|18K-LAF
P01429624A0328|97 111|adenylylcyclase
P01429724A0664|46 50|Nmt1p
P01429836A0457|96 100|Vps1p
P01429836A1205|13 17|Vps1p
P01431380A0244|140 162|anti-SF group rickettsiae
P01431380A0244|164 167|SFGR
P01431380A0244|296 299|JSFR
P01431380A0244|369 372|SFGR
P01431809T0000|49 62|polyhedrin gene
P01433524A0788|51 53|IE1
P01436261A0145|31 42|somatostatin
P01436261A0145|181 190|calcitonin
P01437562A0462|0 17|Anti-CRK antibodies
P01441818T0001|0 14|Interferon type I
P01443047A0773|79 84|Id-SCL
P01446828A1088|13 16|ADH5
P01446828A1088|86 88|Sp1
P01446828A1088|90 92|AP2
P01446828A1088|94 98|LF-A1
P01446828A1088|100 103|NF-1
P01446828A1088|105 109|NF-A2
P01446828A1088|114 118|NF-E1
P01447189A1546|21 29|RNK-Met-1
P01447189A1546|33 46|serine protease
P01447189T0000|30 43|serine protease
P01447189T0000|45 53|RNK-Met-1
P01448107A0361|16 36|dominant GCN2 mutations
P01448107A0361|61 64|GCN4
P01448917A0775|81 96|CPMV RNA 1 sequence
P01448917A0775|120 143|red clover mottle virus RNA 1
P01448917A0775|155 163|CPSMV RNA 1
P01448917A0775|208 228|32K proteinase cofactor
P01448917A0775|230 248|58K presumed helicase
P01448917A0775|250 268|VPg 5'-linked protein
P01448917A0775|286 298|24K proteinase
P01448917A0775|303 323|87K presumed polymerase
P01448932T0000|0 41|Rice dwarf phytoreovirus segment S12 transcript
P01449183A0795|23 38|beta 2 transferrin
P01452037A0000|26 64|glyceraldehyde-3-phosphate dehydrogenase
P01452037A0000|66 70|GAPDH
P01452037A0000|73 96|3-phosphoglycerate kinase
P01452037A0000|98 100|PGK
P01452037A0000|124 147|triosephosphate isomerase
P01452037A0000|149 151|TIM
P01452037A0000|220 228|gap operon
P01452037A0000|266 279|gap amber mutant
P01452584T0000|0 29|Pseudomonas aeruginosa exotoxin A
P01454518A0336|186 199|human ERCC3 cDNA
P01454819A0000|65 95|arginine ADP-ribosyltransferases
P01454819A0000|97 106|EC 2.4.2.31
P01454819A0000|111 139|ADP-ribosylarginine hydrolases
P01454819A0000|141 150|EC 3.2.2.19
P01457380A0000|3 11|tramtrack
P01457380A0000|13 15|ttk
P01457380A0000|101 113|ttk transcript
P01457695T0000a|9 27|beta 2-microglobulin
P01457695T0000b|9 27|beta 2-microglobulin
P01459451A0478|0 3|GAL4
P01459451A0478|5 8|VP16
P01460054A0478|0 13|Truncated ICSBP
P01460054A0478|71 73|ICS
P01460054A0968|10 14|ICSBP
P01460054A0968|76 78|IFN
P01464606A0344|19 37|alpha 5 beta 1 integrin
P01464606A0344|102 112|fibronectin
P01468625A0282|16 19|LEU2
P01468625A0282|23 26|HIS3
P01468625A1080|11 14|ACT1
P01468625A1080|39 42|NSR1
P01469042A0355|5 14|CENP-B gene
P01469042A0355|47 57|CENP-B boxes
P01469047A1606|132 156|glutamic acid decarboxylase
P01470243A0871|248 254|albumin
P01471602A0362|77 129|3-hydroxy-3-methylglutaryl coenzyme A (HMG-CoA) reductase
P01476376T0000|24 29|urease
P01477021A0394|47 55|prolactin
P01480183A0000|25 44|human lactoferrin gene
P01480183A1689|64 78|lactoferrin gene
P01480470A0323|0 5|BiP670
P01485648A0000|139 168|allergen-specific IgE antibodies
P01502157A0000|0 4|ME1a1
P01502157A0000|61 100|c-MYC P1 and P2 transcription initiation sites
P01504853A0299|9 12|LHRH
P01511950T0000|96 119|hepatitis B surface antigen
P01512259A0867|104 110|Dfurin2
P01512259A0867|132 145|mammalian furin
P01516829A0113|23 26|SNF2
P01516829A0113|28 31|SNF5
P01516829A0113|36 39|SNF6
P01516829A0460|10 13|LexA
P01516829A0460|15 18|GAL4
P01516829A0460|22 25|LexA
P01516829A0460|27 32|Bicoid
P01516829A0460|65 68|SNF2
P01516829A0460|70 73|SNF5
P01516829A0460|78 81|SNF6
P01516829A0460|131 143|lexA operators
P01518849A0165|0 1|NE
P01518849A0165|5 7|PR3
P01518849A0165|77 107|connective-tissue protein elastin
P01518849A0165|150 184|alpha 1-proteinase inhibitor complexes
P01518849A0165|188 202|elastin peptides
P01524549A0241|4 5|GH
P01524549A0241|114 115|GH
P01524549A0241|152 153|GH
P01525153A0359|11 19|d(T2AG3T)
P01525153A0359|23 30|d(T2G4T)
P01526658A0454|0 8|IFI 16 mRNA
P01527020A0511|33 59|rat AdoMet decarboxylase genes
P01529530T0000|0 15|Interferon-alpha
P01529530T0000|92 116|ISGF3 transcription complex
P01531632A0000|82 90|nucleolin
P01531632A0000|92 102|fibrillarin
P01531632A0000|104 107|SSB1
P01531632A0000|111 114|NSR1
P01532229A1264|58 62|HF-1a
P01532229A1264|81 85|HF-1b
P01532229A1264|87 91|MEF-2
P01532796A0107|57 58|F1
P01535242A0557|36 40|M-CSF
P01535242A0557|43 48|GM-CSF
P01535242A0557|80 88|c-fms mRNA
P01536153A0574|195 197|IgE
P01536575A1213|152 172|cytochrome P450IA1 gene
P01536575A1213|174 179|CYPIA1
P01537334A0507|15 19|TRP-2
P01537334A0507|60 82|coat colour mutation slaty
P01537845A0571|5 24|bovine and murine c-myb
P01537845A0571|51 59|c-myb gene
P01538403A1058|28 31|eUSF
P01538403A1058|35 39|TFIID
P01538403A1058|121 125|TFIID
P01538403A1058|133 136|eUSF
P01538403A1058|184 193|H5 promoter
P01542565A0220|0 22|Mature tobacco L12 protein
P01542565A0220|66 67|L7
P01542565A0220|69 71|L12
P01542667A0125|15 23|IFN-gamma
P01542667A0125|156 177|IFN-gamma-encoding gene
P01542686A0000|46 84|Rel-related human p75 nucleoprotein complex
P01542686A0000|121 123|p65
P01542686A0000|134 142|NF-kappa B
P01543909A0787|44 45|Lg
P01543909A0787|201 215|ferritin subunit
P01544918A1240|230 236|RII beta
P01544918A1240|255 262|RII alpha
P01544918A1240|294 300|RI alpha
P01545523A0000|69 84|C reactive protein
P01545523A0000|86 101|rheumatoid factor
P01545523A0000|105 121|antistreptolysin O
P01545787A0345|72 87|DNase I footprints
P01545787A0345|89 94|NFAT-1
P01545787A0345|98 104|NFIL-2B
P01545792A0000|3 27|cardiac myosin light chain-2
P01545792A0000|29 33|MLC-2
P01545792A0492|87 95|MLC-2 gene
P01545797A0587|43 50|SLK1 gene
P01545797A0587|52 66|slk1 null mutants
P01545806T0000|32 72|yeast early meiotic recombination genes REC102
P01545806T0000|76 81|REC107
P01545806T0000|83 86|MER2
P01545818A0696|3 6|p130
P01545818A0696|10 12|p62
P01545818A0696|57 61|v-Src
P01545818A0696|62 64|SH2
P01545818A0696|90 94|v-Src
P01545818A0696|97 101|v-src
P01545818A0696|159 163|v-Src
P01545818A0696|164 166|SH2
P01547775A1024|150 162|PLRV replicase
P01547775A1024|168 195|ORF2a/ORF2b transframe protein
P01547942A0120|12 14|LAP
P01547942A0120|97 119|C/EBP-homologous protein
P01547942A0120|121 127|CHOP-10
P01547957A1083|143 146|CYP1
P01547957A1083|150 153|CYP2
P01547957A1083|185 208|CYP3-specific DNA fragment
P01548756A1102|24 28|EHS-1
P01548756A1102|72 80|EHS-1 loci
P01549118A0000|3 40|Caenorhabditis elegans vitellogenin genes
P01549123A0480|3 6|MET4
P01549123A0480|86 114|bZIP transcriptional activators
P01549125A0140|35 41|insulin
P01549125A0140|43 46|IAPP
P01549125A0140|51 65|beta GK promoters
P01549129A0356|121 123|Src
P01549346A0000|3 20|c-Ets-1 oncoprotein
P01551568A1476|32 34|ts8
P01551568A1476|61 64|rpoB
P01551568A1476|79 87|Rif domain
P01552853A1377|19 22|virF
P01552853A1377|58 67|yop regulon
P01554334A0000|20 35|gamma-interferon
